Title,Description,Director,Actors,Entidades
Kynodontas,"Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.",Yorgos Lanthimos,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis","['three teenagers', 'house', 'yorgos lanthimos', 'christos stergioglou', 'michele valley', 'angeliki papoulia', 'hristos passalis']"
Straight Outta Compton,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.","['mid-1980s', 'compton', 'los angeles', 'hip hop culture', 'california', 'f. gary gray', ""o'shea jackson jr."", 'corey hawkins', 'jason mitchell,neil brown jr.']"
The Amazing Spider-Man 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti","['spider-man', 'new york', 'marc webb', 'andrew garfield', 'emma stone', 'jamie foxx', 'paul giamatti']"
The Conjuring,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor","['lorraine warren', 'farmhouse', 'james wan', 'patrick wilson', 'vera farmiga', 'ron livingston', 'lili taylor']"
The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms","['friend', 'bachelor', 'three buddies', 'las vegas', 'todd phillips', 'zach galifianakis', 'bradley cooper', 'justin bartha', 'ed helms']"
Battleship,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,Peter Berg,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson,Rihanna","['peter berg', 'alexander skarsgard', 'brooklyn decker', 'liam neeson,rihanna']"
Rise of the Planet of the Apes,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval","['ape uprising', 'rupert wyatt', 'james franco', 'andy serkis', 'freida pinto', 'karin konoval']"
Lights Out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.",David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke","['rebecca', 'david f. sandberg', 'teresa palmer', 'gabriel bateman', 'maria bello,billy burke']"
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg","['three years later', 'norman oppenheimer', 'politician', 'joseph cedar', 'richard gere', 'lior ashkenazi', 'michael sheen,charlotte gainsbourg']"
Birdman or (The Unexpected Virtue of Ignorance),"Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.",Alejandro González Iñárritu,"Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough","['former popular actor', 'broadway', 'alejandro gonzalez inarritu', 'michael keaton', 'zach galifianakis,edward norton', 'andrea riseborough']"
Black Swan,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder","['tchaikovsky', 'swan lake', 'a committed dancer', 'darren aronofsky', 'natalie portman', 'mila kunis', 'vincent cassel,winona ryder']"
Dear White People,The lives of four black students at an Ivy League college.,Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris","['ivy league college', 'justin simien', 'tyler james williams', 'tessa thompson', 'kyle gallner,teyonah parris']"
Nymphomaniac: Vol. I,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf","['a self-diagnosed nymphomaniac', 'lars von trier', 'charlotte gainsbourg', 'stellan skarsgard', 'stacy martin', 'shia labeouf']"
Teenage Mutant Ninja Turtles: Out of the Shadows,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Dave Green,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney","['world', 'shredder', 'krang', 'bebop', 'turtles', 'rocksteady', 'baxter stockman', 'dave green', 'megan fox', 'will arnett', 'tyler perry', 'laura linney']"
