Title,Description,Director,Actors,Entidades
Christine,"The story of Christine Chubbuck, a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.",Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia","['tv reporter', 'christine chubbuck', '1970s', 'antonio campos', 'rebecca hall', 'michael c. hall', 'tracy letts', 'maria dizzia']"
Man Down,"In a post-apocalyptic America, former U.S. Marine Gabriel Drummer searches desperately for the whereabouts of his son, accompanied by his best friend and a survivor.",Dito Montiel,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara","['gabriel drummer', 'america', 'dito montiel', 'shia labeouf', 'jai courtney', 'gary oldman', 'kate mara']"
Crawlspace,A thriller centered around a widower who moves into a seemingly perfect new home with his daughter and new wife.,Phil Claydon,"Michael Vartan, Erin Moriarty, Nadine Velazquez,Ronnie Gene Blevins","['new wife', 'new home', 'widower', 'thriller', 'phil claydon', 'michael vartan', 'erin moriarty', 'nadine velazquez,ronnie gene blevins']"
Shut In,"A heart-pounding thriller about a widowed child psychologist who lives in an isolated existence in rural New England. Caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",Farren Blackburn,"Naomi Watts, Charlie Heaton, Jacob Tremblay,Oliver Platt","['young boy', 'rural new england', 'a heart-pounding thriller', 'widowed child psychologist', 'farren blackburn', 'naomi watts', 'charlie heaton', 'jacob tremblay,oliver platt']"
The Warriors Gate,A teenager is magically transported to China and learns to convert his video game skills into those of a Kung Fu warrior.,Matthias Hoene,"Mark Chao, Ni Ni, Dave Bautista, Sienna Guillory","['a teenager', 'china', 'matthias hoene', 'mark chao', 'ni ni', 'dave bautista', 'sienna guillory']"
Grindhouse,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,Robert Rodriguez,"Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell","['exploitation', '60s and 70s', 'robert rodriguez', 'quentin tarantino', 'robert rodriguez', 'kurt russell', 'rose mcgowan', 'danny trejo', 'zoe bell']"
Disaster Movie,"Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",Jason Friedberg,"Carmen Electra, Vanessa Lachey,Nicole Parker, Matt Lanter","['catastrophic events', 'natural disasters', 'jason friedberg', 'carmen electra', 'vanessa lachey,nicole parker', 'matt lanter']"
Rocky Balboa,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight; against the reigning heavyweight champ Mason 'The Line' Dixon.",Sylvester Stallone,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young","['rocky balboa', 'sylvester stallone', 'sylvester stallone', 'antonio tarver', 'milo ventimiglia', 'burt young']"
Diary of a Wimpy Kid: Dog Days,"School's out. Summer vacation is on. However, Greg may not have the best summer vacation ever. What could go wrong?",David Bowers,"Zachary Gordon, Robert Capron, Devon Bostick,Steve Zahn","['school', 'greg', 'david bowers', 'zachary gordon', 'robert capron', 'devon bostick,steve zahn']"
Jane Eyre,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,Cary Joji Fukunaga,"Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot","['a mousy governess', 'cary joji fukunaga', 'mia wasikowska', 'michael fassbender', 'jamie bell', 'su elliot']"
Fool's Gold,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,Andy Tennant,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena","['a new clue to the whereabouts of a lost treasure', 'married couple', 'andy tennant', 'matthew mcconaughey', 'kate hudson', 'donald sutherland', 'alexis dziena']"
The Dictator,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,Larry Charles,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley","['country', 'dictator', 'larry charles', 'sacha baron cohen', 'anna faris', 'john c. reilly', 'ben kingsley']"
The Loft,"Five married guys conspire to secretly share a penthouse loft in the city--a place where they can carry out hidden affairs and indulge in their deepest fantasies. But the fantasy becomes a nightmare when they discover the dead body of an unknown woman in the loft, and they realize one of the group must be involved.",Erik Van Looy,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet","['loft', 'penthouse loft', 'unknown woman', 'city', 'five married guys', 'erik van looy', 'karl urban', 'james marsden', 'wentworth miller', 'eric stonestreet']"
Bacalaureat,A film about compromises and the implications of the parent's role.,Cristian Mungiu,"Adrian Titieni, Maria-Victoria Dragus, Lia Bugnar,Malina Manovici","['cristian mungiu', 'adrian titieni', 'maria-victoria dragus', 'lia bugnar,malina manovici']"
You Don't Mess with the Zohan,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Dennis Dugan,"Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson","['hair stylist', 'new york city', 'an israeli special forces soldier', 'dennis dugan', 'adam sandler', 'john turturro', 'emmanuelle chriqui,nick swardson']"
Exposed,A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.,Gee Malik Linton,"Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino","['a police detective', 'unlikely young woman', 'gee malik linton', 'ana de armas', 'keanu reeves', 'christopher mcdonald', 'mira sorvino']"
Maudie,An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.,Aisling Walsh,"Ethan Hawke, Sally Hawkins, Kari Matchett, Zachary Bennett","['nova scotia', 'community', 'aisling walsh', 'ethan hawke', 'sally hawkins', 'kari matchett', 'zachary bennett']"
Horrible Bosses 2,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",Sean Anders,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston","['dale', 'kurt', 'nick', 'sean anders', 'jason bateman', 'jason sudeikis', 'charlie day', 'jennifer aniston']"
A Bigger Splash,The vacation of a famous rock star and a filmmaker in Italy is disrupted by the unexpected visit of an old friend and his daughter.,Luca Guadagnino,"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson","['famous rock star', 'italy', 'luca guadagnino', 'tilda swinton', 'matthias schoenaerts', 'ralph fiennes', 'dakota johnson']"
Melancholia,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgård","['earth', 'mysterious new planet', 'lars von trier', 'kirsten dunst', 'charlotte gainsbourg', 'kiefer sutherland', 'alexander skarsgard']"
The Princess and the Frog,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",Ron Clements,"Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos","['a waitress', 'ron clements', 'anika noni rose', 'keith david', 'oprah winfrey', 'bruno campos']"
Unstoppable,"With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee","['city', 'veteran engineer', 'catastrophe', 'young conductor', 'tony scott', 'denzel washington', 'chris pine', 'rosario dawson', 'ethan suplee']"
Flight,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",Robert Zemeckis,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman","['an airline pilot', 'robert zemeckis', 'denzel washington', 'nadine velazquez', 'don cheadle', 'john goodman']"
Home,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez","['an alien', 'girl', 'tim johnson', 'jim parsons', 'rihanna', 'steve martin', 'jennifer lopez']"
La migliore offerta,"In the world of high-end art auctions and antiques, Virgil Oldman is an elderly and esteemed but eccentric genius art-expert, known and appreciated by the world. Oldman is hired by a ... See full summary »",Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks,Donald Sutherland","['world', 'virgil oldman', 'giuseppe tornatore', 'geoffrey rush', 'jim sturgess', 'sylvia hoeks,donald sutherland']"
Mean Dreams,"Follows Casey and Jonas, two teenagers desperate to escape their broken and abusive homes and examines the desperation of life on the run and the beauty of first love.",Nathan Morlando,"Sophie Nélisse, Josh Wiggins, Joe Cobden, Bill Paxton","['jonas', 'casey', 'nathan morlando', 'sophie nelisse', 'josh wiggins', 'joe cobden', 'bill paxton']"
42,This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time.,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford,Nicole Beharie","['jackie robinson', 'brian helgeland', 'chadwick boseman', 't.r. knight', 'harrison ford,nicole beharie']"
21,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",Robert Luketic,"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo","['card counting', '21', 'six mit students', 'vegas casinos', 'robert luketic', 'jim sturgess', 'kate bosworth', 'kevin spacey', 'aaron yoo']"
Begin Again,A chance encounter between a disgraced music-business executive and a young singer-songwriter new to Manhattan turns into a promising collaboration between the two talents.,John Carney,"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld","['disgraced music-business executive', 'young singer-songwriter', 'manhattan', 'john carney', 'keira knightley', 'mark ruffalo', 'adam levine', 'hailee steinfeld']"
Out of the Furnace,"When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.",Scott Cooper,"Christian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson","['rodney baze', 'russell', 'scott cooper', 'christian bale', 'casey affleck', 'zoe saldana', 'woody harrelson']"
Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",Woody Allen,"Rebecca Hall, Scarlett Johansson, Javier Bardem,Christopher Evan Welch","['ex-wife', 'two girlfriends', 'spain', 'painter', 'woody allen', 'rebecca hall', 'scarlett johansson', 'javier bardem,christopher evan welch']"
Kung Fu Panda,"The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.",Mark Osborne,"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman","['china', 'obese panda', 'tyro', 'the dragon warrior', 'dragon warrior', 'tai lung', 'mark osborne', 'jack black', 'ian mcshane,angelina jolie', 'dustin hoffman']"
Barbershop: The Next Cut,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.",Malcolm D. Lee,"Ice Cube, Regina Hall, Anthony Anderson, Eve","['calvin', 'neighborhood', 'malcolm d. lee', 'ice cube', 'regina hall', 'anthony anderson', 'eve']"
Terminator Salvation,"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",McG,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood","['skynet', 'resistance attack', '2018', 'john connor', 'mcg', 'christian bale', 'sam worthington', 'anton yelchin', 'moon bloodgood']"
Freedom Writers,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn","['a young teacher', 'richard lagravenese', 'hilary swank', 'imelda staunton', 'patrick dempsey', 'scott glenn']"
The Hills Have Eyes,"A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization.",Alexandre Aja,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin","['civilization', 'desert', 'alexandre aja', 'ted levine', 'kathleen quinlan', 'dan byrd', 'emilie de ravin']"
Changeling,"A grief-stricken mother takes on the LAPD to her own detriment when it stubbornly tries to pass off an obvious impostor as her missing child, while also refusing to give up hope that she will find him one day.",Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith","['obvious impostor', 'a grief-stricken mother', 'clint eastwood', 'angelina jolie', 'colm feore', 'amy ryan', 'gattlin griffith']"
Remember Me,"A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder.",Allen Coulter,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund,Moisés Acevedo","['a romantic drama', 'tyler', 'ally', 'allen coulter', 'robert pattinson', 'emilie de ravin', 'caitlyn rund,moises acevedo']"
Koe no katachi,"The story revolves around Nishimiya Shoko, a grade school student who has impaired hearing. She transfers into a new school, where she is bullied by her classmates, especially Ishida Shouya... See full summary »",Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kenshô Ono","['new school', 'nishimiya shoko', 'naoko yamada', 'miyu irino', 'saori hayami', 'aoi yuki', 'kensho ono']"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day.",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette","['brother', 'dad', 'mom', 'sister', 'alexander', 'miguel arteta', 'steve carell', 'jennifer garner', 'ed oxenbould', 'dylan minnette']"
Locke,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.",Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott","['ivan locke', 'steven knight', 'tom hardy', 'olivia colman', 'ruth wilson', 'andrew scott']"
The 9th Life of Louis Drax,A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.,Alexandre Aja,"Jamie Dornan, Aiden Longworth, Sarah Gadon,Aaron Paul","['young boy', 'fantasy', 'mystery', 'alexandre aja', 'jamie dornan', 'aiden longworth', 'sarah gadon,aaron paul']"
Horns,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples.",Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson","['mysterious death', 'young man', 'his girlfriend', 'temples', 'alexandre aja', 'daniel radcliffe', 'juno temple', 'max minghella', 'joe anderson']"
Indignation,"In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War.",James Schamus,"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman","['korean war', 'new jersey', 'marcus', '1951', 'ohio college', 'james schamus', 'logan lerman', 'sarah gadon', 'tijuana ricks', 'sue dahlman']"
The Stanford Prison Experiment,Twenty-four male students out of seventy-five were selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.,Kyle Patrick Alvarez,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby","['stanford psychology building', 'prisoners and guards', 'basement', 'mock prison', 'kyle patrick alvarez', 'ezra miller', 'tye sheridan', 'billy crudup', 'olivia thirlby']"
Diary of a Wimpy Kid: Rodrick Rules,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris","['greg heffley', 'rodrick', 'david bowers', 'zachary gordon', 'devon bostick', 'robert capron,rachael harris']"
Mission: Impossible III,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman","['ethan hunt', 'j.j. abrams', 'tom cruise', 'michelle monaghan', 'ving rhames', 'philip seymour hoffman']"
En man som heter Ove,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll","['ove', 'ill-tempered', 'hannes holm', 'rolf lassgard', 'bahar pars', 'filip berg', 'ida engvoll']"
Dragonball Evolution,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum","['son goku', 'king piccolo', 'james wong', 'justin chatwin', 'james marsters', 'yun-fat chow', 'emmy rossum']"
Red Dawn,A group of teenagers look to save their town from an invasion of North Korean soldiers.,Dan Bradley,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck","['town', 'invasion', 'a group of teenagers', 'dan bradley', 'chris hemsworth', 'isabel lucas', 'josh hutcherson', 'josh peck']"
One Day,"After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison","['em', 'dexter', 'lone scherfig', 'anne hathaway', 'jim sturgess', 'patricia clarkson,tom mison']"
Life as We Know It,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,Greg Berlanti,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett","['two single adults', 'orphaned girl', 'greg berlanti', 'katherine heigl', 'josh duhamel', 'josh lucas', 'alexis clagett']"
28 Weeks Later,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau","['london', 'great britain', 'rage virus', 'juan carlos fresnadillo', 'jeremy renner', 'rose byrne', 'robert carlyle', 'harold perrineau']"
Warm Bodies,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",Jonathan Levine,"Nicholas Hoult, Teresa Palmer, John Malkovich,Analeigh Tipton","['lifeless world', 'still-living girl', 'jonathan levine', 'nicholas hoult', 'teresa palmer', 'john malkovich,analeigh tipton']"
Blue Jasmine,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins","['san francisco', 'new york', 'socialite', 'sister', 'she', 'woody allen', 'cate blanchett', 'alec baldwin', 'peter sarsgaard', 'sally hawkins']"
G.I. Joe: Retaliation,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee","['the g.i. joes', 'cobra', 'jon m. chu', 'dwayne johnson', 'channing tatum', 'adrianne palicki,byung-hun lee']"
Wrath of the Titans,"Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.",Jonathan Liebesman,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes","['zeus', 'world', 'underworld', 'perseus', 'ares', 'hades', 'jonathan liebesman', 'sam worthington', 'liam neeson', 'rosamund pike', 'ralph fiennes']"
Shin Gojira,Japan is plunged into chaos upon the appearance of a giant monster.,Hideaki Anno,"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren Ôsugi","['japan', 'hideaki anno', 'hiroki hasegawa', 'yutaka takenouchi,satomi ishihara', 'ren osugi']"
Saving Mr. Banks,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell","['mary poppins', 'p.l. travers', 'walt disney', 'john lee hancock', 'emma thompson', 'tom hanks', 'annie rose buckley', 'colin farrell']"
Transcendence,"A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program.",Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy","['a scientist', 'wally pfister', 'johnny depp', 'rebecca hall', 'morgan freeman', 'cillian murphy']"
Rio,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher","['minnesota', 'rio de janeiro', 'blu', 'jewel', 'carlos saldanha', 'jesse eisenberg', 'anne hathaway', 'george lopez,karen disher']"
Equals,"In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society.",Drake Doremus,"Nicholas Hoult, Kristen Stewart, Vernetta Lopez,Scott Lawrence","['utopia', 'two people', 'drake doremus', 'nicholas hoult', 'kristen stewart', 'vernetta lopez,scott lawrence']"
Babel,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",Alejandro González Iñárritu,"Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam","['tragedy', 'moroccan desert', 'alejandro gonzalez inarritu', 'brad pitt', 'cate blanchett', 'gael garcia bernal', 'mohamed akhzam']"
The Tree of Life,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken","['1956', 'the story of a family', 'waco, texas', 'the eldest son', 'terrence malick', 'brad pitt', 'sean penn', 'jessica chastain', 'hunter mccracken']"
The Lucky One,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart","['louisiana', 'unknown woman', 'iraq', 'a marine', 'war', 'scott hicks', 'zac efron', 'taylor schilling', 'blythe danner', 'riley thomas stewart']"
Piranha 3D,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,Ving Rhames","['area', 'sudden underwater tremor', 'alexandre aja', 'elisabeth shue', ""jerry o'connell"", 'richard dreyfuss,ving rhames']"
50/50,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard","['27-year-old guy', 'comedy', 'jonathan levine', 'joseph gordon-levitt', 'seth rogen', 'anna kendrick', 'bryce dallas howard']"
The Intent,"Gunz (Dylan Duffus) is thrust into a world of excitement when he joins the TIC crew. The crew, led by the ruthless Hoodz (Scorcher), goes from low level weed peddling to full on armed ... See full summary »",Femi Oyeniran,"Dylan Duffus, Scorcher,Shone Romulus, Jade Asha","['gunz', 'dylan duffus', 'scorcher', 'hoodz', 'femi oyeniran', 'dylan duffus', 'scorcher,shone romulus', 'jade asha']"
This Is 40,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow","['debbie', 'pete', 'judd apatow', 'paul rudd', 'leslie mann', 'maude apatow', 'iris apatow']"
Real Steel,"In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.",Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie","['champion', 'struggling promoter', 'in the near future', 'robot boxing', 'shawn levy', 'hugh jackman', 'evangeline lilly', 'dakota goyo,anthony mackie']"
Sex and the City,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis","['new york', 'writer', 'mr. big', 'michael patrick king', 'sarah jessica parker', 'kim cattrall', 'cynthia nixon', 'kristin davis']"
Rambo,"In Thailand, John Rambo joins a group of missionaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",Sylvester Stallone,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish","['burma', 'thailand', 'john rambo', 'sylvester stallone', 'sylvester stallone', 'julie benz', 'matthew marsden', 'graham mctavish']"
Planet Terror,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",Robert Rodriguez,"Rose McGowan, Freddy Rodríguez, Josh Brolin,Marley Shelton","['robert rodriguez', 'rose mcgowan', 'freddy rodriguez', 'josh brolin,marley shelton']"
Concussion,"In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.",Peter Landesman,"Will Smith, Alec Baldwin, Albert Brooks, David Morse","['pittsburgh', 'dr. bennet omalu', 'peter landesman', 'will smith', 'alec baldwin', 'albert brooks', 'david morse']"
The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",Tarsem Singh,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek","['hospital', 'fellow patient', 'five mythical heroes', 'los angeles', 'little girl with a broken arm', '1920s', 'injured stuntman', 'tarsem singh', 'lee pace', 'catinca untaru', 'justine waddell', 'kim uylenbroek']"
The Ugly Truth,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ... See full summary »,Robert Luketic,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter","['chauvinistic correspondent', 'robert luketic', 'katherine heigl', 'gerard butler', 'bree turner', 'eric winter']"
Bride Wars,Two best friends become rivals when they schedule their respective weddings on the same day.,Gary Winick,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg","['two best friends', 'gary winick', 'kate hudson', 'anne hathaway', 'candice bergen', 'bryan greenberg']"
Sleeping with Other People,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",Leslye Headland,"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva","['serial cheater', 'a good-natured womanizer', 'leslye headland', 'jason sudeikis', 'alison brie', 'jordan carlos,margarita levieva']"
Snakes on a Plane,"An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard","['an fbi agent', 'mob boss', 'los angeles', 'honolulu', 'witness', 'david r. ellis', 'samuel l. jackson', 'julianna margulies', 'nathan phillips', 'rachel blanchard']"
What If,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver","['chantry', 'wallace', 'michael dowse', 'daniel radcliffe', 'zoe kazan', 'megan park', 'adam driver']"
